City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
491,Catuday,16.2923,119.8062,79.72,83,100,8.63,PH,overcast clouds
492,Mayo,38.8876,-76.5119,97.39,62,1,5.99,US,clear sky
493,Bolu,40.6667,31.5833,67.96,55,0,3.8,TR,clear sky
494,Nha Trang,12.25,109.1833,78.8,87,100,5.39,VN,light rain
495,Dali,25.7,100.1833,62.91,95,100,3.74,CN,overcast clouds
496,Kviteseid,59.4022,8.4927,68.02,69,0,7.07,NO,clear sky
497,Santa Maria Del Oro,25.9333,-105.3667,85.8,29,33,6.69,MX,scattered clouds
498,Dudinka,69.4058,86.1778,43.56,69,100,14.56,RU,overcast clouds
499,Jacareacanga,-6.2222,-57.7528,87.1,41,65,1.88,BR,broken clouds
500,Riberalta,-10.9833,-66.1,85.17,47,41,1.92,BO,scattered clouds
501,Bubaque,11.2833,-15.8333,80.83,81,98,10.78,GW,overcast clouds
502,Beyneu,45.3167,55.2,83.82,21,0,3.27,KZ,clear sky
503,Morki,56.4303,48.9947,63.77,96,9,3.65,RU,clear sky
504,Kangaatsiaq,68.3065,-53.4641,46.2,70,12,2.3,GL,few clouds
505,Nicolas Bravo,18.45,-88.9167,90.48,51,78,5.53,MX,broken clouds
506,Tefe,-3.3542,-64.7114,82.51,83,75,6.91,BR,thunderstorm
507,Launceston,-41.45,147.1667,46.15,98,90,3.44,AU,light rain
508,Champaign,40.1334,-88.2001,75.27,89,40,3.0,US,scattered clouds
509,Grand Baie,-20.0182,57.5802,71.46,73,53,5.01,MU,light rain
510,Alamos,27.0167,-108.9333,96.71,45,52,4.36,MX,broken clouds
511,Fairbanks,64.8378,-147.7164,78.1,56,1,4.61,US,smoke
512,Barretos,-20.5572,-48.5678,74.28,32,69,1.5,BR,broken clouds
513,Mitu,1.1983,-70.1733,74.48,97,69,3.89,CO,broken clouds
514,Gainesville,29.6516,-82.3248,94.68,48,20,1.01,US,few clouds
515,Rio Verde De Mato Grosso,-18.9181,-54.8442,77.43,35,0,3.91,BR,clear sky
516,Bukachacha,52.9833,116.9167,64.9,71,87,1.88,RU,overcast clouds
517,Gravdal,68.1214,13.5031,52.9,89,93,20.78,NO,light rain
518,Bonnyville,54.2668,-110.735,71.4,32,60,12.48,CA,moderate rain
519,Pauini,-7.7136,-66.9764,85.89,48,17,1.92,BR,few clouds
